sample_id,map_path,mode,shape,channel_1,channel_2,channel_3,deployable,intended_family
controlled_route_sensitive_v2_0001,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0001.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,mixed_win_anchor
controlled_route_sensitive_v2_0002,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0002.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,separated_win_anchor
controlled_route_sensitive_v2_0003,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0003.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,cleaned_win_anchor
controlled_route_sensitive_v2_0004,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0004.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,review_needed_anchor
controlled_route_sensitive_v2_0005,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0005.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,mixed_win_anchor
controlled_route_sensitive_v2_0006,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0006.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,separated_win_anchor
controlled_route_sensitive_v2_0007,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0007.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,cleaned_win_anchor
controlled_route_sensitive_v2_0008,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0008.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,review_needed_anchor
controlled_route_sensitive_v2_0009,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0009.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,mixed_win_anchor
controlled_route_sensitive_v2_0010,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0010.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,separated_win_anchor
controlled_route_sensitive_v2_0011,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0011.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,cleaned_win_anchor
controlled_route_sensitive_v2_0012,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0012.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,review_needed_anchor
controlled_route_sensitive_v2_0013,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0013.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,mixed_win_anchor
controlled_route_sensitive_v2_0014,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0014.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,separated_win_anchor
controlled_route_sensitive_v2_0015,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0015.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,cleaned_win_anchor
controlled_route_sensitive_v2_0016,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0016.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,review_needed_anchor
controlled_route_sensitive_v2_0017,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0017.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,mixed_win_anchor
controlled_route_sensitive_v2_0018,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0018.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,separated_win_anchor
controlled_route_sensitive_v2_0019,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0019.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,cleaned_win_anchor
controlled_route_sensitive_v2_0020,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0020.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,review_needed_anchor
controlled_route_sensitive_v2_0021,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0021.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,mixed_win_anchor
controlled_route_sensitive_v2_0022,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0022.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,separated_win_anchor
controlled_route_sensitive_v2_0023,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0023.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,cleaned_win_anchor
controlled_route_sensitive_v2_0024,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0024.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,review_needed_anchor
controlled_route_sensitive_v2_0025,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0025.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,mixed_win_anchor
controlled_route_sensitive_v2_0026,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0026.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,separated_win_anchor
controlled_route_sensitive_v2_0027,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0027.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,cleaned_win_anchor
controlled_route_sensitive_v2_0028,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0028.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,review_needed_anchor
controlled_route_sensitive_v2_0029,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0029.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,mixed_win_anchor
controlled_route_sensitive_v2_0030,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0030.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,separated_win_anchor
controlled_route_sensitive_v2_0031,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0031.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,cleaned_win_anchor
controlled_route_sensitive_v2_0032,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0032.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,review_needed_anchor
controlled_route_sensitive_v2_0033,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0033.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,mixed_win_anchor
controlled_route_sensitive_v2_0034,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0034.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,separated_win_anchor
controlled_route_sensitive_v2_0035,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0035.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,cleaned_win_anchor
controlled_route_sensitive_v2_0036,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0036.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,review_needed_anchor
controlled_route_sensitive_v2_0037,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0037.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,mixed_win_anchor
controlled_route_sensitive_v2_0038,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0038.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,separated_win_anchor
controlled_route_sensitive_v2_0039,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0039.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,cleaned_win_anchor
controlled_route_sensitive_v2_0040,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0040.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,review_needed_anchor
controlled_route_sensitive_v2_0041,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0041.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,mixed_win_anchor
controlled_route_sensitive_v2_0042,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0042.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,separated_win_anchor
controlled_route_sensitive_v2_0043,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0043.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,cleaned_win_anchor
controlled_route_sensitive_v2_0044,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0044.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,review_needed_anchor
controlled_route_sensitive_v2_0045,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0045.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,mixed_win_anchor
controlled_route_sensitive_v2_0046,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0046.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,separated_win_anchor
controlled_route_sensitive_v2_0047,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0047.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,cleaned_win_anchor
controlled_route_sensitive_v2_0048,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0048.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,review_needed_anchor
controlled_route_sensitive_v2_0049,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0049.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,mixed_win_anchor
controlled_route_sensitive_v2_0050,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0050.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,separated_win_anchor
controlled_route_sensitive_v2_0051,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0051.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,cleaned_win_anchor
controlled_route_sensitive_v2_0052,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0052.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,review_needed_anchor
controlled_route_sensitive_v2_0053,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0053.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,mixed_win_anchor
controlled_route_sensitive_v2_0054,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0054.npy,analysis_only_irm_proxy,3x64x96,mixed_pseudo_logmel,source_energy_overlap_proxy,source_energy_dominance_proxy,False,separated_win_anchor
